                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.80878,                 0.5132,                0.94666,                 1.0098,                0.59345,                0.96155,                 0.7317,                0.75549,                0.78125,                0.58555,                0.99772,                0.76149,                 1.1025,                 1.0448,                0.81904,                  1.114,             0.00097775,             0.00097775,             0.00097775
                     25,                0.80135,                0.50818,                0.93877,                 1.0004,                0.57978,                0.95486,                0.80198,                0.74576,                0.81257,                0.60055,                0.98149,                 0.7086,                 1.0919,                 1.0292,                0.75804,                 1.1045,             0.00096537,             0.00096537,             0.00096537
                     26,                0.79678,                0.50239,                0.93457,                 1.0001,                0.57172,                 0.9486,                0.83622,                0.75147,                0.81517,                0.61285,                0.98299,                0.72658,                  1.107,                 1.0334,                0.75418,                 1.1152,               0.000953,               0.000953,               0.000953
                     27,                0.79389,                0.49507,                0.93498,                0.98849,                0.56974,                0.95003,                0.78526,                 0.7521,                 0.8155,                0.60584,                 1.0005,                 0.7389,                 1.1141,                 1.0564,                0.76653,                 1.1268,             0.00094062,             0.00094062,             0.00094062
                     28,                0.79346,                0.49523,                0.93529,                0.99848,                0.57267,                0.95144,                0.78019,                0.71064,                0.77241,                0.57021,                0.99391,                0.69744,                 1.1098,                 1.0485,                0.76137,                 1.1268,             0.00092825,             0.00092825,             0.00092825
                     29,                0.78605,                0.49365,                0.93489,                0.98844,                0.57543,                0.95095,                0.72509,                0.73365,                0.77455,                0.58121,                0.95068,                 0.7271,                 1.0903,                 0.9981,                0.78387,                 1.1076,             0.00091588,             0.00091588,             0.00091588
                     30,                0.78065,                0.48225,                0.92969,                0.97599,                0.55142,                0.94396,                0.78307,                 0.7556,                0.81191,                0.60118,                0.96106,                0.67531,                 1.0921,                 1.0136,                0.72711,                 1.1041,              0.0009035,              0.0009035,              0.0009035
                     31,                0.77654,                0.48019,                0.93129,                0.96736,                0.54984,                0.94597,                0.81084,                0.76809,                0.81528,                0.60942,                 0.9505,                0.69139,                 1.0893,                 1.0065,                0.73397,                 1.1039,             0.00089112,             0.00089112,             0.00089112
                     32,                0.77696,                0.46545,                0.92541,                0.97095,                0.53541,                0.93937,                0.81738,                0.77948,                0.82223,                0.60729,                 0.9749,                0.62352,                 1.0986,                 1.0241,                0.65429,                 1.1095,             0.00087875,             0.00087875,             0.00087875
                     33,                0.76882,                0.46425,                0.92424,                0.96229,                0.52503,                0.93951,                0.77253,                0.77242,                0.80095,                0.60002,                0.97237,                0.68802,                 1.0868,                 1.0207,                0.74921,                 1.1019,             0.00086637,             0.00086637,             0.00086637
                     34,                0.76798,                0.46366,                0.92416,                0.95855,                0.52605,                0.93931,                0.79491,                0.73258,                0.78705,                0.59194,                0.96538,                0.74493,                 1.0918,                 1.0207,                0.84051,                 1.1088,               0.000854,               0.000854,               0.000854
                     35,                0.76833,                0.46052,                0.92263,                 0.9605,                0.52616,                0.93644,                0.74852,                0.79377,                 0.8121,                0.60966,                0.95473,                0.62179,                 1.0953,                 1.0081,                0.66343,                 1.1058,             0.00084162,             0.00084162,             0.00084162
                     36,                0.75979,                0.45736,                0.92006,                 0.9558,                 0.5257,                0.93383,                0.80169,                0.80248,                0.84099,                0.63068,                0.95573,                0.73096,                 1.0932,                 1.0072,                0.77015,                 1.1064,             0.00082925,             0.00082925,             0.00082925
                     37,                0.76065,                0.44878,                 0.9188,                0.95119,                0.50867,                0.93246,                0.81447,                0.76734,                0.81222,                0.60108,                  0.964,                0.74621,                 1.0858,                 1.0201,                0.78576,                 1.0975,             0.00081688,             0.00081688,             0.00081688
                     38,                 0.7613,                0.45986,                0.91922,                0.95304,                 0.5247,                0.93237,                0.78794,                0.77444,                0.80654,                0.61249,                0.97619,                0.68662,                 1.1056,                 1.0281,                 0.7271,                 1.1187,              0.0008045,              0.0008045,              0.0008045
                     39,                0.75266,                0.44705,                0.91739,                0.93781,                0.50961,                0.92999,                0.78225,                0.76083,                0.79985,                0.60372,                0.95583,                0.66263,                 1.1026,                 1.0085,                0.72364,                  1.115,             0.00079213,             0.00079213,             0.00079213
                     40,                0.75436,                0.44533,                0.91518,                0.94162,                0.50764,                0.92677,                0.79937,                 0.7783,                 0.8266,                0.62556,                0.95697,                0.74424,                 1.0875,                 1.0024,                0.82948,                 1.0991,             0.00077975,             0.00077975,             0.00077975
                     41,                0.75104,                0.43941,                0.91637,                0.94638,                0.50177,                0.92957,                0.77905,                0.80634,                0.82389,                 0.6211,                0.94509,                0.72311,                 1.0911,                0.98835,                0.77786,                 1.1036,             0.00076738,             0.00076738,             0.00076738
                     42,                0.75643,                0.44632,                0.91696,                0.95006,                0.50921,                0.92948,                0.75687,                0.76778,                0.79421,                0.57551,                0.97957,                0.76849,                 1.1095,                 1.0347,                0.89435,                 1.1267,               0.000755,               0.000755,               0.000755
                     43,                0.74617,                0.43795,                0.91479,                0.93354,                0.49571,                0.92643,                0.80862,                0.79508,                0.83805,                 0.6199,                0.97995,                0.69471,                 1.1089,                 1.0311,                0.74397,                 1.1236,             0.00074263,             0.00074263,             0.00074263
                     44,                0.74582,                0.43958,                0.91831,                0.93448,                0.49607,                0.92999,                0.75327,                0.77192,                0.81095,                0.60787,                0.95295,                0.71279,                 1.0917,                0.99818,                0.78247,                 1.0997,             0.00073025,             0.00073025,             0.00073025
                     45,                 0.7465,                0.43741,                0.91343,                0.93673,                0.49793,                0.92598,                0.80809,                0.77951,                0.82663,                0.61664,                0.95753,                0.67143,                 1.0863,                 1.0057,                0.71991,                 1.0941,             0.00071788,             0.00071788,             0.00071788
                     46,                0.73682,                0.42663,                0.90976,                0.92125,                0.48044,                0.92147,                0.75664,                0.76036,                0.78937,                0.58606,                0.97203,                0.70598,                  1.091,                  1.022,                0.79386,                 1.1034,              0.0007055,              0.0007055,              0.0007055
                     47,                0.72865,                0.41634,                  0.904,                0.91569,                0.46772,                0.91594,                0.79911,                0.79409,                0.83267,                0.60876,                0.96415,                0.73894,                 1.1026,                 1.0186,                0.80124,                 1.1112,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.7341,                0.41849,                0.90952,                0.92194,                0.47116,                0.92173,                0.77223,                0.81565,                0.82728,                0.62634,                0.96307,                0.76371,                 1.1021,                  1.011,                0.82023,                 1.1124,             0.00068075,             0.00068075,             0.00068075
                     49,                0.73467,                0.41676,                0.90958,                0.92475,                0.47082,                0.92254,                0.82104,                0.75785,                0.80563,                0.60307,                0.95272,                 0.7924,                 1.0869,                 1.0037,                0.86233,                 1.0991,             0.00066838,             0.00066838,             0.00066838
                     50,                0.73096,                0.41416,                0.90397,                0.91645,                0.46736,                0.91553,                 0.8123,                0.78537,                0.81463,                0.60464,                0.95215,                0.74089,                 1.0825,                 1.0038,                0.81201,                 1.0916,               0.000656,               0.000656,               0.000656
